ID        Name                     Age       Species                    Location
5318      Diamond                  8    Newt                              1
5319      Killer                   35   Fennec Fox                       25
5320      Axe                      97   Quail                            48
5321      Hope                     83   Armadillo                        25
5322      Morning Thunder          97   Macaroni Penguin                 40
5323      Fearsome Star            21   Macaroni Penguin                 35
5324      Wild Juggernaut          13   Otter                            83
5325      Isotope                  3    Humboldt Penguin                 71
5326      Gentle Fury              56   Otter                            63
5327      Random Earring           83   Newt                            100
5328      Star                     82   Beaver                            6
5329      Killer                   36   Racoon Dog                       84
5330      Gentle Killer            20   Elephant                         46
5331      Isotope                  55   Gecko                            57
5332      Pirate                        Elephant                          3
5333      Earring                  75   Pink Fairy Armadillo              9
5334      Optimistic Maverick      38   Quail                            51
5335      Pirate                   78   Wombat                           76
5336      Axe                      87   Jaguar                           14
5337      Earring                  61   Otter                            83
5338      Hope                     62   Pink Fairy Armadillo             95
5339      Awesome Lover            60   Otter                            33
5340      Shining Killer           16   Otter                            71
5341      Killer                   51   Dusky Dolphin                    81
5342      Isotope                  48   Newt                             79
5343      Leaping Chunk            74   Beaver                            1
5344      Gentle Wind              83   Tapir                            38
5345      Juggernaut               48   Newt                             63
5346      Underrated Earring       48   Otter                            33
5347      Brave Star               64   Tapir                            32
5348      Evening Bully            69   Wombat                           76
5349      Earring                  77   Jaguar                           42
5350      Bully                    16   Newt                             82
5351      Night Bully              34   Dusky Dolphin                    59
5352      Gentle Hope              70   Quail                            42
5353      Pessimistic Earring      51   Pink Fairy Armadillo             23
5354      Fury                     79   Kudu                             72
5355      Earring                  70   Long-Eared Owl                   25
5356      Isotope                  72   Cavalier King Charles Spaniel    78
5357      Random Earring           28   Dusky Dolphin                     3
5358      Wild Pirate              6    Racoon Dog                       73
5359      Leaping Lover            8    Newt                              9
5360      Pessimistic Pirate       89   Racoon Dog                       12
5361      Optimistic Hope          56                                    98
5362      Leaping Diamond          87   Long-Eared Owl                   25
5363      Isotope                  59   Beaver                           44
5364      Underrated Bully         27   Elephant                         75
5365      Leaping Earring          10   Long-Eared Owl                   44
5366      Awesome Star             70   Wombat                           47
5367      Morning Axe              51   Newt                             16
5368      Pessimistic Juggernaut   31   Kudu                             40
5369      Gentle Juggernaut        42   Wombat                           75
5370      Thunder                  95   Jaguar                           29
5371      Optimistic Bully         34   Wombat                           68
5372      Pessimistic Bully        58   Humboldt Penguin                 34
5373      Evening Killer           61   Racoon Dog                       31
5374      Night Chunk              69   Otter                            82
5375      Killer                   37   Fennec Fox                       56
5376      Joyful Axe               86   Wombat                           84
5377      Evening Juggernaut       70   Pink Fairy Armadillo             36
5378      Fury                     63   Beaver                           97
5379      Gentle Hope              54   Gecko                             1
5380      Underrated Maverick      83   Humboldt Penguin                 88
5381      Underrated Hope          60   Kudu                              7
5382      Bully                    46   Long-Eared Owl                   73
5383      Maverick                 68   Fennec Fox                       60
5384      Random Fury              50   Newt                             36
5385      Maverick                 94   Wombat                           38
5386      Chunk                    58   Elephant                         58
5387      Star                     96   Macaroni Penguin                 37
5388      Pirate                   54   Racoon Dog                       71
5389      Leaping Pirate           72   Jaguar                           27
5390      Cunning Wind             6    Dusky Dolphin                    21
5391      Pirate                   85   Quail                            37
5392      Lover                    69                                    71
5393      Wind                     63   Pink Fairy Armadillo             77
          Random Wind              83   Newt                              3
5395      Brave Isotope            28   Fennec Fox                       38
5396      Pirate                        Long-Eared Owl                   44
5397      Night Lover              97   Humboldt Penguin                 38
5398      Cunning Juggernaut       63   Shih Tzu                         20
5399      Fearsome Isotope         31   Otter                            62
5400      Pessimistic Earring      23   Fennec Fox                       51
5401      Joyful Juggernaut        54   Fennec Fox                       94
5402      Bully                    60   Long-Eared Owl                   23
5403      Joyful Isotope           96   Pink Fairy Armadillo             61
5404      Shining Killer           37   Racoon Dog                       36
5405      Chunk                    2    Jaguar                           38
5406      Gentle Maverick          36   Elephant                         44
5407      Awesome Juggernaut       18   Dusky Dolphin                    48
5408      Morning Lover            49   Jaguar                            1
5409      Awesome Pirate           83   Elephant                         20
5410      Random Maverick          42   Gecko                             5
5411      Isotope                  52   Beaver                           29
5412      Fury                     19   Dusky Dolphin                    86

